15 Sit-Ups,5 Crunches,5 Leg Raises,10sec Plank
20 Sit-Ups,8 Crunches,8 Leg Raises,12sec Plank
25 Sit-Ups,10 Crunches,10 Leg Raises,15sec Plank
,,,
30 Sit-Ups,12 Crunches,12 Leg Raises,20sec Plank
35 Sit-Ups,15 Crunches,15 Leg Raises,25sec Plank
40 Sit-Ups,20 Crunches,20 Leg Raises,30sec Plank
,,,
45 Sit-Ups,30 Crunches,30 Leg Raises,38sec Plank
50 Sit-Ups,50 Crunches,30 Leg Raises,38sec Plank
55 Sit-Ups,65 Crunches,33 Leg Raises,42sec Plank
,,,
60 Sit-Ups,75 Crunches,40 Leg Raises,50sec Plank
65 Sit-Ups,85 Crunches,42 Leg Raises,55sec Plank
70 Sit-Ups,95 Crunches,42 Leg Raises,60sec Plank
,,,
75 Sit-Ups,100 Crunches,42 Leg Raises,65sec Plank
80 Sit-Ups,110 Crunches,48 Leg Raises,70sec Plank
85 Sit-Ups,120 Crunches,50 Leg Raises,75sec Plank
,,,
90 Sit-Ups,130 Crunches,50 Leg Raises,80sec Plank
95 Sit-Ups,140 Crunches,50 Leg Raises,85sec Plank
100 Sit-Ups,150 Crunches,55 Leg Raises,90sec Plank
,,,
105 Sit-Ups,160 Crunches,60 Leg Raises,95sec Plank
110 Sit-Ups,170 Crunches,60 Leg Raises,100sec Plank
115 Sit-Ups,180 Crunches,62 Leg Raises,110sec Plank
,,,
120 Sit-Ups,190 Crunches,62 Leg Raises,115sec Plank
125 Sit-Ups,200 Crunches,65 Leg Raises,120sec Plank